firm,quarter_end,quarter,year,report_date,snapshot_date,analyst,broker,broker_code,estimate_value,revision_date,staleness_days,actual_eps,price_10d_prior,market_cap
VRTX-US,2026-03-31,2026Q1,2026,20260504,20260501,Myles R. Minter,William Blair,198,19.4,20260213,77,4.0242,439.18,111709.71
VRTX-US,2026-03-31,2026Q1,2026,20260504,20260501,Paul Matteis,Stifel Nicolaus,548,18.82,20260213,77,4.0242,439.18,111709.71
VRTX-US,2026-03-31,2026Q1,2026,20260504,20260501,Whitney Ijem,Canaccord Genuity,466,19.56,20260429,2,4.0242,439.18,111709.71
VRTX-US,2026-03-31,2026Q1,2026,20260504,20260501,Brian Abrahams,RBC Capital Markets,1269,18.66,20260408,23,4.0242,439.18,111709.71
VRTX-US,2026-03-31,2026Q1,2026,20260504,20260501,Carter Gould,Cantor Fitzgerald,1190,19.02,20260407,24,4.0242,439.18,111709.71
VRTX-US,2026-03-31,2026Q1,2026,20260504,20260501,Louise Chen,Scotiabank GBM,810,17.49,20260213,77,4.0242,439.18,111709.71
VRTX-US,2026-03-31,2026Q1,2026,20260504,20260501,Jay Olson,Oppenheimer,498,18.7,20260424,7,4.0242,439.18,111709.71
VRTX-US,2026-03-31,2026Q1,2026,20260504,20260501,Steve Chesney,Rothschild & Co Redburn,1652,,20260216,74,4.0242,439.18,111709.71
VRTX-US,2026-03-31,2026Q1,2026,20260504,20260501,William Pickering,Bernstein Research,1140,,20260213,77,4.0242,439.18,111709.71
VRTX-US,2026-03-31,2026Q1,2026,20260504,20260501,Joseph Stringer,Needham,477,21.1,20260213,77,4.0242,439.18,111709.71
VRTX-US,2026-03-31,2026Q1,2026,20260504,20260501,Andrew S. Fein,HC Wainwright,536,22.66,20260213,77,4.0242,439.18,111709.71
VRTX-US,2026-03-31,2026Q1,2026,20260504,20260501,Akash Tewari,Jefferies,512,18.82,20260309,53,4.0242,439.18,111709.71
VRTX-US,2026-03-31,2026Q1,2026,20260504,20260501,Christopher Raymond,Raymond James,402,18.17,20260416,15,4.0242,439.18,111709.71
VRTX-US,2026-03-31,2026Q1,2026,20260504,20260501,Debjit Chattopadhyay,Guggenheim Securities,1515,18.75,20260213,77,4.0242,439.18,111709.71
VRTX-US,2026-03-31,2026Q1,2026,20260504,20260501,Mohit Bansal,Wells Fargo Securities,596,18.968004,20260213,77,4.0242,439.18,111709.71
VRTX-US,2026-03-31,2026Q1,2026,20260504,20260501,Evan David Seigerman,BMO Capital Markets,181,19.37,20260410,21,4.0242,439.18,111709.71
VRTX-US,2026-03-31,2026Q1,2026,20260504,20260501,Cory Kasimov,Evercore ISI,1772,17.26,20260408,23,4.0242,439.18,111709.71
VRTX-US,2026-03-31,2026Q1,2026,20260504,20260501,Jasper Hellweg,Argus Research,376,19.4,20260318,44,4.0242,439.18,111709.71
VRTX-US,2026-03-31,2026Q1,2026,20260504,20260501,Naz Rahman,Maxim Group,1063,18.86,20260213,77,4.0242,439.18,111709.71
VRTX-US,2026-03-31,2026Q1,2026,20260504,20260501,Phil Nadeau,TD Cowen,917,19.0479,20260213,77,4.0242,439.18,111709.71
VRTX-US,2026-03-31,2026Q1,2026,20260504,20260501,Narumi Nakagiri,Daiwa Securities Co. Ltd.,467,19.06,20260224,66,4.0242,439.18,111709.71
VRTX-US,2026-03-31,2026Q1,2026,20260504,20260501,David Risinger,Leerink Partners,1079,18.89,20260213,77,4.0242,439.18,111709.71
VRTX-US,2025-12-31,2025Q4,2025,20260212,20260211,Brian Abrahams,RBC Capital Markets,1269,19.93,20260107,35,4.6509,475.68,120688.97
